result_dir,output_file,strategy_dir,output_strategy,bbox_name,split,index,prompt,bbox_xyxy,threshold,inside_output_target_l1,inside_output_target_mse,outside_output_source_l1,outside_output_source_mse,outside_outer_output_source_l1,outside_outer_output_source_mse,whole_output_source_l1,whole_output_target_l1,clip_output_prompt_similarity,clip_target_prompt_similarity,lpips_output_target_whole,lpips_output_source_whole,lpips_output_target_inside_bbox,lpips_output_source_inside_bbox,changed_pixels,bbox_pixels,changed_bbox_iou,changed_inside_bbox_ratio,bbox_coverage_by_change,changed_center_x,changed_center_y,changed_to_bbox_center_distance_px,changed_to_bbox_center_distance_norm
results/fixed_location_ablation/strategy_c_top-left_ablation,strategy_c_final_epoch_0010_step_002560_test_0_seed1234_bbox_bottom_right_strategy_c.png,strategy_c_top-left_ablation,strategy_c,bottom_right,test,0,Add a metallic spoon,"[8, 312, 512, 512]",0.08,0.05832529067993164,0.016210762783885002,0.04230434074997902,0.0070755453780293465,0.0422305129468441,0.007084636949002743,0.046956874430179596,0.0762563943862915,nan,nan,nan,nan,nan,nan,26780,100800,0.09818976870701454,0.42595220313666915,0.11316468253968254,270.6156005859375,241.7300567626953,170.60054087204742,0.23561093618108883
results/fixed_location_ablation/strategy_c_top-left_ablation,strategy_c_final_epoch_0010_step_002560_test_0_seed1234_bbox_center_strategy_c.png,strategy_c_top-left_ablation,strategy_c,center,test,0,Add a metallic spoon,"[4, 156, 508, 356]",0.08,0.1829068809747696,0.0722694993019104,0.039676569402217865,0.0046904925256967545,0.03511539101600647,0.0023925607092678547,0.0908813551068306,0.09519388526678085,nan,nan,nan,nan,nan,nan,62469,100800,0.4275384494321113,0.7827562470985608,0.48509920634920634,239.02603149414062,241.47528076171875,22.340167317833664,0.03085328867828568
results/fixed_location_ablation/strategy_c_top-left_ablation,strategy_c_final_epoch_0010_step_002560_test_0_seed1234_bbox_original_strategy_c.png,strategy_c_top-left_ablation,strategy_c,original,test,0,Add a metallic spoon,"[0, 144, 504, 344]",0.08,0.20218738913536072,0.08132638037204742,0.036987677216529846,0.003341464791446924,0.03518224507570267,0.0024003798607736826,0.10205069184303284,0.10089842230081558,nan,nan,nan,nan,nan,nan,70481,100800,0.5106675721681764,0.8214979923667372,0.5744047619047619,249.37155151367188,234.60121154785156,9.759403968148845,0.013478399855892479
results/fixed_location_ablation/strategy_c_top-left_ablation,strategy_c_final_epoch_0010_step_002560_test_0_seed1234_bbox_top_left_strategy_c.png,strategy_c_top-left_ablation,strategy_c,top_left,test,0,Add a metallic spoon,"[0, 0, 504, 200]",0.08,0.07994524389505386,0.022731734439730644,0.028640002012252808,0.001596295740455389,0.02893010526895523,0.001621975447051227,0.04332558065652847,0.07242380827665329,nan,nan,nan,nan,nan,nan,23745,100800,0.1562993222542011,0.7089913666034955,0.16701388888888888,214.56007385253906,200.0878143310547,106.8612120813488,0.1475825931807335
results/fixed_location_ablation/strategy_c_top-left_ablation,strategy_c_final_epoch_0010_step_002560_test_0_seed1234_bbox_zero_strategy_c.png,strategy_c_top-left_ablation,strategy_c,zero,test,0,Add a metallic spoon,"[0, 0, 0, 0]",0.08,nan,nan,0.07775062322616577,0.023844702169299126,0.07786804437637329,0.023894982412457466,0.07775062322616577,0.09039357304573059,nan,nan,nan,nan,nan,nan,51614,0,0.0,0.0,nan,216.86083984375,235.2247314453125,319.93639702487116,0.4418538982122616
results/fixed_location_ablation/strategy_c_top-left_ablation,strategy_c_final_epoch_0010_step_002560_test_1_seed1234_bbox_bottom_right_strategy_c.png,strategy_c_top-left_ablation,strategy_c,bottom_right,test,1,"Add a striped cat with gray and white fur, blue eyes, and a collar with a tag","[304, 288, 512, 512]",0.08,0.1971449851989746,0.11050228774547577,0.02971414290368557,0.004580446984618902,0.024586908519268036,0.0017735946457833052,0.059347108006477356,0.07367176562547684,nan,nan,nan,nan,nan,nan,30839,46592,0.2859301823496197,0.5582865851681312,0.3695269574175824,300.9231262207031,291.5798645019531,152.3823568519739,0.2104503864515998
results/fixed_location_ablation/strategy_c_top-left_ablation,strategy_c_final_epoch_0010_step_002560_test_1_seed1234_bbox_center_strategy_c.png,strategy_c_top-left_ablation,strategy_c,center,test,1,"Add a striped cat with gray and white fur, blue eyes, and a collar with a tag","[152, 144, 360, 368]",0.08,0.2701105773448944,0.1299290955066681,0.03409429267048836,0.008873545564711094,0.026630660519003868,0.0034446995705366135,0.08437444269657135,0.07636808604001999,nan,nan,nan,nan,nan,nan,49330,46592,0.5722856018882769,0.7077640381106831,0.7493561126373627,244.2146759033203,239.21580505371094,20.5086095106132,0.028323782925120146
results/fixed_location_ablation/strategy_c_top-left_ablation,strategy_c_final_epoch_0010_step_002560_test_1_seed1234_bbox_original_strategy_c.png,strategy_c_top-left_ablation,strategy_c,original,test,1,"Add a striped cat with gray and white fur, blue eyes, and a collar with a tag","[184, 136, 392, 360]",0.08,0.23860663175582886,0.11442279070615768,0.0269357580691576,0.00395521754398942,0.024806810542941093,0.0019407767103984952,0.07451564818620682,0.06487327069044113,nan,nan,nan,nan,nan,nan,41759,46592,0.5163388597123537,0.7204434972101822,0.6457117101648352,268.3770751953125,222.95562744140625,31.816344459162238,0.04394053304617315
results/fixed_location_ablation/strategy_c_top-left_ablation,strategy_c_final_epoch_0010_step_002560_test_1_seed1234_bbox_top_left_strategy_c.png,strategy_c_top-left_ablation,strategy_c,top_left,test,1,"Add a striped cat with gray and white fur, blue eyes, and a collar with a tag","[0, 0, 208, 224]",0.08,0.10458116978406906,0.03022179938852787,0.020121635869145393,0.0016153577016666532,0.018666792660951614,0.0010470463894307613,0.03462507203221321,0.05031447485089302,nan,nan,nan,nan,nan,nan,22755,46592,0.2844177733325925,0.6748406943528895,0.32958447802197804,176.64645385742188,141.44662475585938,78.38756896071543,0.10825855775947267
results/fixed_location_ablation/strategy_c_top-left_ablation,strategy_c_final_epoch_0010_step_002560_test_1_seed1234_bbox_zero_strategy_c.png,strategy_c_top-left_ablation,strategy_c,zero,test,1,"Add a striped cat with gray and white fur, blue eyes, and a collar with a tag","[0, 0, 0, 0]",0.08,nan,nan,0.02866441197693348,0.00444182800129056,0.028688225895166397,0.0044504799880087376,0.02866441197693348,0.044545941054821014,nan,nan,nan,nan,nan,nan,17826,0,0.0,0.0,nan,218.25608825683594,118.66458892822266,248.42907383532994,0.34309742725167053
